team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Polina Belanovski,9.6000,9.6000,9.7000,9.8000
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Carmella Calafati,,,9.0000,9.7750
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Isabella DeCroo,9.7500,,,9.8000
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Madison Draser,,,9.3500,
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Emma Duerre,,,9.0500,
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Lauren Greene,,9.7000,,
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Adriana Hoffman,9.7250,,,9.0000
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Jocelyn Lannon,9.7250,,,
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Natalie Lindgren,,,,9.7750
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Isabella Minervini,9.7750,9.8500,9.7750,9.8000
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Brissa Portillo,,8.9500,,
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Alison Ritch,,9.6500,,
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Faye Rodio,9.0500,,,
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Piper Slocum,,9.6500,,
Towson,2026,1,no meet title,Jan-04-2026,Clemson,Celia Trotter,,,9.7000,
Towson,2026,2,no meet title,Jan-09-2026,Towson,Polina Belanovski,9.7500,9.8000,9.4750,9.9000
Towson,2026,2,no meet title,Jan-09-2026,Towson,Carmella Calafati,,,8.3500,9.7750
Towson,2026,2,no meet title,Jan-09-2026,Towson,Isabella DeCroo,9.7250,,,9.8000
Towson,2026,2,no meet title,Jan-09-2026,Towson,Cameran Edwards,,,,
Towson,2026,2,no meet title,Jan-09-2026,Towson,Hayden Gough,,9.7250,,
Towson,2026,2,no meet title,Jan-09-2026,Towson,Lauren Greene,,9.7000,,
Towson,2026,2,no meet title,Jan-09-2026,Towson,Adriana Hoffman,9.8000,,,9.8250
Towson,2026,2,no meet title,Jan-09-2026,Towson,Jocelyn Lannon,9.7000,,,
Towson,2026,2,no meet title,Jan-09-2026,Towson,Natalie Lindgren,,,9.6750,9.8250
Towson,2026,2,no meet title,Jan-09-2026,Towson,Isabella Minervini,9.7500,9.8750,9.5500,9.8750
Towson,2026,2,no meet title,Jan-09-2026,Towson,Brissa Portillo,,9.8000,9.8000,
Towson,2026,2,no meet title,Jan-09-2026,Towson,Alison Ritch,,9.8250,,
Towson,2026,2,no meet title,Jan-09-2026,Towson,Faye Rodio,9.6250,,,
Towson,2026,2,no meet title,Jan-09-2026,Towson,Piper Slocum,,,,
Towson,2026,2,no meet title,Jan-09-2026,Towson,Reese Toland,,,,
Towson,2026,2,no meet title,Jan-09-2026,Towson,Celia Trotter,,,9.8500,
