team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Cady Chiu,,,9.5000,
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Adia Friesen,,9.5250,,
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Chloe Gann,9.0250,,,
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Milla Gideon,,8.7250,,
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Alana Kim,9.8250,,9.5500,9.7000
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Avery Marshall,,,,9.5750
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Amelia Moneymaker,9.7750,9.7500,9.7500,9.8250
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Sierra Muns,9.7250,,,9.6250
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Molly Osborne,9.6000,9.3500,9.6500,
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Ayumi Oshiro,,9.5750,9.7750,9.4000
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Jehaan Poonja,,9.6500,9.5000,
UC Davis,2026,1,no meet title,Jan-11-2026,Arizona State,Avah Reichow,9.8000,,,9.7250
UC Davis,2026,2,no meet title,Jan-18-2026,UC Davis,Cady Chiu,,,9.6500,
UC Davis,2026,2,no meet title,Jan-18-2026,UC Davis,Adia Friesen,,8.8250,,
UC Davis,2026,2,no meet title,Jan-18-2026,UC Davis,Chloe Gann,9.7500,,,
UC Davis,2026,2,no meet title,Jan-18-2026,UC Davis,Milla Gideon,,9.8000,,
UC Davis,2026,2,no meet title,Jan-18-2026,UC Davis,Alana Kim,9.7750,,9.7000,9.4500
UC Davis,2026,2,no meet title,Jan-18-2026,UC Davis,McKenna Knecht,,9.4750,,
UC Davis,2026,2,no meet title,Jan-18-2026,UC Davis,Avery Marshall,,,,9.6500
UC Davis,2026,2,no meet title,Jan-18-2026,UC Davis,Amelia Moneymaker,9.8000,9.8250,9.8500,9.7500
UC Davis,2026,2,no meet title,Jan-18-2026,UC Davis,Sierra Muns,9.6250,,,9.8000
UC Davis,2026,2,no meet title,Jan-18-2026,UC Davis,Molly Osborne,9.6750,9.5750,9.7750,
UC Davis,2026,2,no meet title,Jan-18-2026,UC Davis,Jehaan Poonja,,9.3000,9.7250,
