team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UCLA,2026,1,no meet title,Jan-03-2026,Washington,Ciena Alipio,,,9.9250,
UCLA,2026,1,no meet title,Jan-03-2026,Washington,Madisyn Anyimi,9.8000,,,
UCLA,2026,1,no meet title,Jan-03-2026,Washington,Sydney Barros,,9.8000,,
UCLA,2026,1,no meet title,Jan-03-2026,Washington,Jordan Chiles,9.9000,9.9250,9.9750,9.9250
UCLA,2026,1,no meet title,Jan-03-2026,Washington,Riley Jenkins,9.8250,,,
UCLA,2026,1,no meet title,Jan-03-2026,Washington,Nola Matthews,,9.8000,9.8500,9.7000
UCLA,2026,1,no meet title,Jan-03-2026,Washington,Katelyn Rosen,9.8000,9.7750,9.8250,9.6750
UCLA,2026,1,no meet title,Jan-03-2026,Washington,Ashlee Sullivan,9.8250,9.8500,,9.7750
UCLA,2026,1,no meet title,Jan-03-2026,Washington,Tiana Sumanasekera,9.8000,,9.9500,9.8500
UCLA,2026,1,no meet title,Jan-03-2026,Washington,Mika Webster-Longin,,9.8500,9.8000,9.8250
UCLA,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Ciena Alipio,,,9.9250,9.8000
UCLA,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Madisyn Anyimi,9.7750,,,
UCLA,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Jordan Chiles,9.9000,9.9000,9.8500,9.9250
UCLA,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Riley Jenkins,9.8250,,,
UCLA,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Nola Matthews,,9.8750,9.2000,
UCLA,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Katelyn Rosen,9.8250,9.8750,9.8250,9.8000
UCLA,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Ashlee Sullivan,9.8500,9.8750,,9.7750
UCLA,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Tiana Sumanasekera,9.8750,9.9000,9.7250,9.8500
UCLA,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Mika Webster-Longin,,9.8250,9.8000,9.8000
UCLA,2026,3,no meet title,Jan-17-2026,UCLA,Ciena Alipio,,,9.9750,9.8750
UCLA,2026,3,no meet title,Jan-17-2026,UCLA,Madisyn Anyimi,9.7500,,,
UCLA,2026,3,no meet title,Jan-17-2026,UCLA,Jordan Chiles,10.0000,9.9000,9.9750,9.8000
UCLA,2026,3,no meet title,Jan-17-2026,UCLA,Riley Jenkins,9.7250,,,
UCLA,2026,3,no meet title,Jan-17-2026,UCLA,Nola Matthews,,9.8250,9.7750,
UCLA,2026,3,no meet title,Jan-17-2026,UCLA,Katelyn Rosen,9.8000,9.8500,9.9000,9.6250
