team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Kamryn Andrade,,,8.8250,9.5000
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Jozie Armos,,,8.9250,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Abigail Berens,9.4500,,,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Cadence Cordova,9.4500,,,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Madison Daly,,8.6500,,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Brooklynn Einck,,8.8750,,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Jaida Fredrich,,,,9.5500
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Hareet Gehlon,,,9.5750,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Georgia Guynn,,,9.2750,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Rachel Hettiarachchy,,9.5250,,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Emily Leese,8.9750,,,9.6250
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Ella Montgomery,,8.5000,,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Ava Obermoller,,9.4250,,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Anna Preussner,9.3250,,,9.5000
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Hanna Riha,9.3750,,,8.7000
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Kinley Rose,,9.5250,,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Sky Skipper,,,9.4500,9.4000
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Linnea Vasali,,,9.4500,
UW-Eau Claire,2026,1,no meet title,Jan-09-2026,UW-Eau Claire,Haley Zampella,9.4500,,,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Kamryn Andrade,,,,9.4000
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Jozie Armos,,,9.4500,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Abigail Berens,9.4750,,,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Cadence Cordova,9.1750,8.1250,,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Meghan Dahlin,,,9.7000,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Brooklynn Einck,,9.3250,,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Jaida Fredrich,,,,9.1250
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Hareet Gehlon,,,9.5500,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Grace Gerster,,,9.5000,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Georgia Guynn,,,9.5250,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Rachel Hettiarachchy,,8.9250,,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Emily Leese,,,,9.5750
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Ella Montgomery,,9.4250,,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Ava Obermoller,9.2250,8.5000,,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Anna Preussner,9.5000,,,9.6500
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Hanna Riha,9.2000,,,9.6500
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Kinley Rose,,9.6500,,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Sky Skipper,,,,9.6000
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Linnea Vasali,,,9.7500,
UW-Eau Claire,2026,2,no meet title,Jan-16-2026,Winona State,Haley Zampella,9.5250,,,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Kamryn Andrade,,,,9.3000
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Abigail Berens,9.3750,,,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Cadence Cordova,9.4250,9.4250,,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Meghan Dahlin,,,9.6750,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Brooklynn Einck,,9.1500,,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Hareet Gehlon,,,9.5250,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Grace Gerster,9.3000,,9.1500,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Georgia Guynn,,,9.3750,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Rachel Hettiarachchy,,8.9750,,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Emily Leese,,,,9.4750
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Ella Montgomery,,9.3750,,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Ava Obermoller,,9.3750,,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Anna Preussner,8.9750,,,9.5250
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Hanna Riha,9.2750,,,9.6250
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Kinley Rose,,9.5750,,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Sky Skipper,,,9.5250,9.5000
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Linnea Vasali,,,9.8000,
UW-Eau Claire,2026,3,no meet title,Jan-23-2026,Hamline,Haley Zampella,9.4500,,,9.5000
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Kamryn Andrade,,,,9.4250
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Jozie Armos,,,9.4500,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Abigail Berens,9.5000,,,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Cadence Cordova,,9.4250,,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Meghan Dahlin,,,9.6250,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Brooklynn Einck,,8.5250,,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Hareet Gehlon,,,9.6500,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Grace Gerster,9.3750,,9.5250,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Georgia Guynn,,,8.6500,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Rachel Hettiarachchy,,7.0750,,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Emily Leese,,,,9.4250
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Ava Obermoller,9.3750,9.3250,,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Anna Preussner,9.6250,,,9.4750
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Hanna Riha,9.4500,,,9.4250
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Kinley Rose,,9.5000,,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Sky Skipper,,,,9.5250
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Linnea Vasali,,9.5000,9.7500,
UW-Eau Claire,2026,4,no meet title,Feb-01-2026,Western Michigan,Haley Zampella,9.5750,,,9.6750
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Kamryn Andrade,,,,9.2500
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Jozie Armos,,,9.6500,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Abigail Berens,9.4000,,,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Cadence Cordova,,8.9000,,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Meghan Dahlin,,,9.8000,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Hareet Gehlon,,,9.6500,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Grace Gerster,9.5500,,9.4500,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Georgia Guynn,,,9.3500,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Rachel Hettiarachchy,,9.4000,,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Emily Leese,,,,9.5500
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Ella Montgomery,,9.3250,,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Ava Obermoller,9.3000,9.3000,,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Anna Preussner,9.1250,,,9.6000
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Hanna Riha,9.5250,,,9.5750
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Kinley Rose,,9.6250,,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Sky Skipper,,,,9.6250
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Linnea Vasali,,7.9250,8.9750,
UW-Eau Claire,2026,5,no meet title,Feb-06-2026,UW-Eau Claire,Haley Zampella,9.5750,,,9.3750
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Kamryn Andrade,,,,9.6250
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Jozie Armos,,,9.7500,
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Abigail Berens,9.5250,,,
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Cadence Cordova,9.7000,9.7250,,
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Meghan Dahlin,,,9.8000,
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Brooklynn Einck,,8.7000,,
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Jaida Fredrich,9.2500,,,
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Hareet Gehlon,,,9.7750,
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Grace Gerster,9.4000,,9.6000,8.8000
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Rachel Hettiarachchy,,9.0500,,
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Ella Montgomery,,9.4250,,
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Ava Obermoller,,9.4250,,
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Anna Preussner,,,,9.6500
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Hanna Riha,9.4750,,,9.5750
UW-Eau Claire,2026,6,no meet title,Feb-15-2026,Simpson,Kinley Rose,,9.3250,,
