team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Sarah Best,,8.5750,,
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Paige Breckwoldt,9.7000,,,9.7750
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Raina Christenson,,,9.8000,
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Grace Edwards,,9.4750,,9.6250
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Morgan Engels,,8.5000,,
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Ava Kaspryzcki,9.5000,,,
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Grace Kehr,9.7000,,,9.6500
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Lauren Main,,9.5000,8.9500,
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Madalyn McCormick,,9.6000,9.8500,
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Lily Millington,9.6500,,,
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Mckenna Myers,,,,9.6500
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Sarah Pastore,9.6500,,,
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Cobi Powell,9.5500,,,
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Claire Robbins,,9.5500,9.7250,9.6000
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Adeline Snyder,,,,9.6750
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Lainey Vogt,,,9.6500,
UW-La Crosse,2026,1,no meet title,Jan-10-2026,Nebraska,Lucy Warren,,,9.7500,
UW-La Crosse,2026,2,no meet title,Jan-16-2026,UW-La Crosse,Ashlyn Barker,,8.8500,,
UW-La Crosse,2026,2,no meet title,Jan-16-2026,UW-La Crosse,Paige Breckwoldt,9.6750,,,9.7750
UW-La Crosse,2026,2,no meet title,Jan-16-2026,UW-La Crosse,Raina Christenson,,,9.6000,
UW-La Crosse,2026,2,no meet title,Jan-16-2026,UW-La Crosse,Ashley Dalton,9.5750,,,
UW-La Crosse,2026,2,no meet title,Jan-16-2026,UW-La Crosse,Morgan Engels,,8.6500,,9.6000
UW-La Crosse,2026,2,no meet title,Jan-16-2026,UW-La Crosse,Azia Hawkins,,9.5750,,
UW-La Crosse,2026,2,no meet title,Jan-16-2026,UW-La Crosse,Ava Kaspryzcki,9.7000,,,
UW-La Crosse,2026,2,no meet title,Jan-16-2026,UW-La Crosse,Hunter Matulka,,,,9.5250
