team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Hadley Bretschneider,,9.7250,,
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Averie Evans,9.5250,9.5000,,
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Talynn Rae Gallegos,9.2250,,9.5250,9.7250
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Lydia Hayden,,9.7500,9.6500,
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Hannah Hughes,,9.6250,9.4000,
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Kristina Jakubiak,,,9.5000,
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Taylor Leaman,,,,9.6000
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Amaya McConkay,9.4750,9.6750,,
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Reanna McGibboney,9.5750,9.6750,,9.8250
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Kasha Muraski,9.4750,,,
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Mia Passarella,,,,9.7000
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Kris Phillips,9.4500,,,
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Aleah Radojevich,,,,9.6500
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Jay Ratkowski,,,9.4500,
UW-Oshkosh,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Jurnee Warkentien,,,9.4000,9.7250
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Hadley Bretschneider,,9.6750,,
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Ome Ellis,9.7000,,,9.8000
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Averie Evans,9.5750,9.7500,,
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Talynn Rae Gallegos,,,8.7000,9.6250
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Lydia Hayden,,9.7000,9.7500,
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Hannah Hughes,,9.6750,9.6500,
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Kristina Jakubiak,,,8.6500,
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Taylor Leaman,,,,9.7500
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Amaya McConkay,9.6500,9.7000,,
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Reanna McGibboney,9.7250,9.6750,,9.7250
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Kasha Muraski,9.6250,,,
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Kris Phillips,9.7000,,,
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Aleah Radojevich,,,,9.7750
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Jay Ratkowski,,,8.5500,
UW-Oshkosh,2026,2,no meet title,Jan-09-2026,UW-Oshkosh,Jurnee Warkentien,,,9.6000,9.6500
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Hadley Bretschneider,,9.5000,,
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Ome Ellis,9.7750,,,9.6000
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Averie Evans,9.6000,9.6750,,
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Lydia Hayden,,9.3500,9.3500,
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Hannah Hughes,9.7750,9.6750,9.5000,
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Kristina Jakubiak,,,9.3500,
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Taylor Leaman,,,,9.7250
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Amaya McConkay,9.7250,9.5500,,
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Reanna McGibboney,9.7000,8.7750,,9.6500
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Kris Phillips,9.6750,,,
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Aleah Radojevich,,,,9.7500
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Jay Ratkowski,,,9.5000,9.7250
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Emma Steele,,,9.0000,
UW-Oshkosh,2026,3,no meet title,Jan-15-2026,UW-Oshkosh,Jurnee Warkentien,,,9.3000,9.6250
