team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Jamie Beatty,,9.0500,8.5250,9.3500
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Cora Cardellino,8.9000,,9.3500,
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Jaidyn Carroll,9.3500,8.5500,8.7500,
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Holly Carter,,,,8.4000
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Caroline DiMarco,,8.0000,,
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Kendra Henige,9.3750,9.4000,,9.6500
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Katelyn Jossie,,8.7000,,
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Kaylie Kassing,,,,9.6750
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Cassidy Lennard,,,9.2500,
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Sarah Lutz,,9.6500,,9.4250
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Jessica Qualich,9.6500,,,9.4500
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Julia Rhoades,,,8.2250,
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Maggie Ryan,9.4250,,,
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Taylar Schaefer,,,8.9750,
UW-Stout,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Kadyn Swank,9.4000,,,
UW-Stout,2026,2,no meet title,Jan-10-2026,Nebraska,Jamie Beatty,,8.6000,9.7250,8.9000
UW-Stout,2026,2,no meet title,Jan-10-2026,Nebraska,Cora Cardellino,,8.9750,9.5500,
UW-Stout,2026,2,no meet title,Jan-10-2026,Nebraska,Jaidyn Carroll,9.4500,7.3500,8.4500,
UW-Stout,2026,2,no meet title,Jan-10-2026,Nebraska,Holly Carter,9.4750,,,
