team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Brianna Balian,9.6750,9.6000,,
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Elaine Copeland,9.6000,9.7500,,
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Danielle Dudziak,9.5750,,,
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Ashnaya Gupta,,,9.4500,
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Tegan Haberstock,,,8.8750,9.4000
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Caroline Haynes,,,9.6250,
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Jane Heffernan,,9.6500,,9.5750
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Paige Magel,,9.7500,9.6500,9.6750
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Carleigh Moore,9.5250,,,9.4500
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Maliyah Pound,,,,9.5000
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Juliette Rider,9.7750,,9.5500,9.6500
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Sophia Spadafora,,,8.9500,
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Kaleigh Summers,9.6500,9.6750,,
UW-Whitewater,2026,1,no meet title,Jan-09-2026,UW-Oshkosh,Gracie Talley,,9.5000,,
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Brianna Balian,9.6500,9.5000,,
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Elaine Copeland,,9.5000,,
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Danielle Dudziak,9.5500,,,9.5750
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Avery Friend,,,9.6000,9.6000
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Ashnaya Gupta,,,8.9250,
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Tegan Haberstock,,,8.8000,9.7000
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Jane Heffernan,,9.5750,,9.6750
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Paige Magel,,9.6750,9.1250,
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Carleigh Moore,9.7000,,,9.7750
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Juliette Rider,9.1750,,9.5000,9.8000
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Kaleigh Summers,9.6000,9.5000,,
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Gracie Talley,,8.7500,,
UW-Whitewater,2026,2,no meet title,Jan-17-2026,Simpson,Siena Vavala,9.6750,,9.6500,
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Brianna Balian,,9.5750,,
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Elaine Copeland,,9.7000,,
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Danielle Dudziak,9.6500,,,9.7000
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Avery Friend,,9.6750,8.9250,9.6750
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Ashnaya Gupta,,,8.7000,
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Tegan Haberstock,,,,9.5000
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Caroline Haynes,,,9.7250,
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Jane Heffernan,,9.1250,,9.7750
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Paige Magel,,9.7750,9.6750,
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Maliyah Pound,9.6250,,,
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Juliette Rider,9.8500,,9.6500,9.6500
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Sophia Spadafora,9.7250,,,
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Kaleigh Summers,9.7000,,,9.6000
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Gracie Talley,,8.3500,,
UW-Whitewater,2026,3,no meet title,Jan-23-2026,Sacramento State,Siena Vavala,9.6750,,8.9000,
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Brianna Balian,,9.6000,,
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Elaine Copeland,,9.6750,,
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Danielle Dudziak,9.5750,,,9.6250
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Avery Friend,,,,9.6250
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Ariana Goodwin,,9.2000,,
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Tegan Haberstock,,,9.4250,9.6000
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Caroline Haynes,,,8.9000,
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Jane Heffernan,,9.6250,9.5750,9.6250
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Gaby Hinkle,9.4500,8.4500,,
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Paige Magel,,9.7500,9.7000,
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Maliyah Pound,9.5250,,,9.5750
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Juliette Rider,9.7750,,9.5500,9.5500
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Sophia Spadafora,9.6500,,9.5500,
UW-Whitewater,2026,4,no meet title,Jan-31-2026,UW-Whitewater,Siena Vavala,9.6500,,,
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Elaine Copeland,,9.4000,,9.4750
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Danielle Dudziak,9.5500,,,9.4750
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Ariana Goodwin,,9.6000,,
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Ashnaya Gupta,,,9.6250,
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Tegan Haberstock,,,9.4250,9.3750
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Caroline Haynes,,,8.9500,
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Jane Heffernan,,9.3500,,
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Lindsey Hollifield,9.5000,,,
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Paige Magel,,9.5500,9.5000,9.4250
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Maliyah Pound,9.5750,,,9.3500
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Caroline Saenz,9.3500,,,
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Sophia Spadafora,9.6500,,9.5750,
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Kaleigh Summers,,8.6750,,
UW-Whitewater,2026,5,no meet title,Feb-07-2026,UW-Whitewater,Kristen Swiebocki,,,8.8500,
