team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,Lauren Coleman,,9.4250,,
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,Michaela Duffy,9.5500,,8.7500,8.7500
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,Brianna Duffy,,8.6000,,
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,Arianna Ellis,,,9.5000,9.3750
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,Valentina Hurtado,9.1250,,,
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,Erin Roe,9.5500,9.0000,9.4750,9.6750
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,Adrienne Roth,,,9.0000,
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,Kylie Ruggiero,,8.2500,,
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,LeeLee Sanders,9.1500,9.4750,,
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,Sidney Schreiber,9.4500,,9.2000,9.8500
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,Lily Stewart,9.3750,,,
Ursinus College,2026,1,no meet title,Jan-11-2026,Ursinus College,Lucy Warburton,,8.7500,9.3500,9.7000
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Belle  Bentman,,,,8.0000
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Josie Burton,,,8.2000,
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Lauren Coleman,,8.5000,,
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Brianna Duffy,,9.2250,,
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Michaela Duffy,9.5500,,9.4250,9.5000
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Arianna Ellis,,,8.9250,9.5500
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Valentina Hurtado,9.3000,,,
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Erin Roe,9.7250,9.6750,9.4250,9.6750
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Kylie Ruggiero,,8.1750,,
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,LeeLee Sanders,9.3250,8.7750,,
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Sidney Schreiber,9.7000,,9.6500,9.6000
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Lily Stewart,9.3500,,,
Ursinus College,2026,2,no meet title,Jan-18-2026,Ithaca College,Lucy Warburton,,9.4250,9.6750,9.8000
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,Belle  Bentman,,,,8.3000
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,Lauren Coleman,,9.2500,,
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,Michaela Duffy,9.5750,,9.4000,9.3250
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,Brianna Duffy,,5.6500,,
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,Arianna Ellis,,,9.5500,9.6000
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,Valentina Hurtado,9.0500,,,
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,Erin Roe,9.7250,9.4250,8.5500,9.5250
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,Kylie Ruggiero,,9.5250,,
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,LeeLee Sanders,9.3000,7.7500,8.8250,
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,Sidney Schreiber,9.6750,,9.4500,9.7750
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,Lily Stewart,9.4000,,,
Ursinus College,2026,3,no meet title,Feb-01-2026,Ursinus College,Lucy Warburton,,8.8000,9.6750,9.6250
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Josie Burton,,,8.5500,
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Lauren Coleman,,9.2000,,
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Michaela Duffy,9.5750,,9.0500,9.6500
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Brianna Duffy,,9.2750,,
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Arianna Ellis,,,9.6750,9.5250
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Valentina Hurtado,9.5000,,,
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Erin Roe,9.7750,9.7000,9.7250,9.0500
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Adrienne Roth,,,9.0500,
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Kylie Ruggiero,,8.2000,,
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,LeeLee Sanders,,9.2250,,
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Sidney Schreiber,9.7250,,,9.7750
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Lily Stewart,9.5500,,,7.5750
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Elizabeth Toppi,9.4000,,,
Ursinus College,2026,4,no meet title,Feb-08-2026,Utica,Lucy Warburton,,9.4250,9.6500,9.7000
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Belle  Bentman,,,,9.4500
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Gigi Boivin,,9.2000,,
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Lauren Coleman,,9.2500,,
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Michaela Duffy,9.6500,,9.5500,9.7500
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Brianna Duffy,,8.5500,,
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Arianna Ellis,,,9.7250,9.6750
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Valentina Hurtado,9.5500,,,
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Erin Roe,9.8000,9.5750,9.6000,9.5750
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,LeeLee Sanders,,9.6500,9.6500,
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Sidney Schreiber,9.7250,,9.5750,9.8500
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Lily Stewart,9.5000,,,
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Elizabeth Toppi,9.4500,,,
Ursinus College,2026,5,no meet title,Feb-13-2026,West Chester,Lucy Warburton,,9.5000,9.6500,9.5000
Ursinus College,2026,6,no meet title,Feb-22-2026,Ursinus College,Belle  Bentman,,,,8.5500
Ursinus College,2026,6,no meet title,Feb-22-2026,Ursinus College,Lauren Coleman,,9.3250,,
Ursinus College,2026,6,no meet title,Feb-22-2026,Ursinus College,Michaela Duffy,9.4750,,9.2750,9.4000
Ursinus College,2026,6,no meet title,Feb-22-2026,Ursinus College,Brianna Duffy,,7.4500,,
Ursinus College,2026,6,no meet title,Feb-22-2026,Ursinus College,Arianna Ellis,,,9.6750,9.6500
Ursinus College,2026,6,no meet title,Feb-22-2026,Ursinus College,Valentina Hurtado,9.4250,,,
Ursinus College,2026,6,no meet title,Feb-22-2026,Ursinus College,Erin Roe,9.6750,9.1750,8.8250,9.6250
Ursinus College,2026,6,no meet title,Feb-22-2026,Ursinus College,Kylie Ruggiero,,9.5500,,
Ursinus College,2026,6,no meet title,Feb-22-2026,Ursinus College,LeeLee Sanders,,9.4500,9.5500,
Ursinus College,2026,6,no meet title,Feb-22-2026,Ursinus College,Sidney Schreiber,9.5750,,8.7250,9.7750
