team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Utah State,2026,1,Best of Utah,Jan-12-2026,,Avery Bibbey,,9.1500,,
Utah State,2026,1,Best of Utah,Jan-12-2026,,Anabelle Dewey,9.7500,,,
Utah State,2026,1,Best of Utah,Jan-12-2026,,Mara Gruber,,,,9.8250
Utah State,2026,1,Best of Utah,Jan-12-2026,,Sydney Jelen,,9.8500,9.8000,
Utah State,2026,1,Best of Utah,Jan-12-2026,,Charley Laufer,,9.7250,,
Utah State,2026,1,Best of Utah,Jan-12-2026,,Kaylie Medrano,,,9.7250,
Utah State,2026,1,Best of Utah,Jan-12-2026,,Nyla Morabito,9.6500,,8.9750,
Utah State,2026,1,Best of Utah,Jan-12-2026,,Olivia Orengo,9.7500,9.8500,9.8000,9.7500
Utah State,2026,1,Best of Utah,Jan-12-2026,,Marley Peterson,,,,9.7250
Utah State,2026,1,Best of Utah,Jan-12-2026,,Chelsea Southam,9.8250,,,9.7500
Utah State,2026,1,Best of Utah,Jan-12-2026,,Alianna Valdez,9.8250,,9.8250,
Utah State,2026,1,Best of Utah,Jan-12-2026,,Lundyn VanderToolen,,9.8250,,
Utah State,2026,1,Best of Utah,Jan-12-2026,,Isabella Vater,,9.7500,,9.8750
Utah State,2026,1,Best of Utah,Jan-12-2026,,Mya Witte,9.7500,,9.7750,
Utah State,2026,1,Best of Utah,Jan-12-2026,,Sienna Yelle,,,,9.8000
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Avery Bibbey,,9.7750,,
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Anabelle Dewey,9.7750,,,9.8250
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Mara Gruber,,,,9.7500
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Sydney Jelen,,9.7500,9.7750,
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Charley Laufer,,9.7000,,
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Kaylie Medrano,,,9.7000,
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Nyla Morabito,9.8500,,9.8500,
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Olivia Orengo,9.8000,9.7750,9.7750,9.7000
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Chelsea Southam,9.7500,,,9.8000
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Alianna Valdez,9.7250,,9.7000,
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Lundyn VanderToolen,,9.7750,,
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Isabella Vater,,9.8500,,9.7500
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Mya Witte,9.7750,,9.8250,
Utah State,2026,2,no meet title,Jan-17-2026,Utah State,Sienna Yelle,,,,9.7750
Utah State,2026,3,no meet title,Jan-23-2026,Utah State,Avery Bibbey,,9.8000,,
Utah State,2026,3,no meet title,Jan-23-2026,Utah State,Anabelle Dewey,9.8000,,,9.8500
Utah State,2026,3,no meet title,Jan-23-2026,Utah State,Amari Evans,,,,
Utah State,2026,3,no meet title,Jan-23-2026,Utah State,Mara Gruber,,,,9.4500
Utah State,2026,3,no meet title,Jan-23-2026,Utah State,Sydney Jelen,,9.8500,9.8250,
