team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Utah,2026,1,no meet title,Jan-02-2026,Utah,Elizabeth Gantner,,,9.7750,
Utah,2026,1,no meet title,Jan-02-2026,Utah,Ashley Glynn,9.8250,,,
Utah,2026,1,no meet title,Jan-02-2026,Utah,Zoe Johnson,9.9250,,,
Utah,2026,1,no meet title,Jan-02-2026,Utah,Avery Neff,9.8000,9.7750,9.8750,9.7000
Utah,2026,1,no meet title,Jan-02-2026,Utah,Ana Padurariu,,9.8500,9.8500,
Utah,2026,1,no meet title,Jan-02-2026,Utah,Clara Raposo,9.7750,,,
Utah,2026,1,no meet title,Jan-02-2026,Utah,Abbi Ryssman,,9.7250,9.8500,
Utah,2026,1,no meet title,Jan-02-2026,Utah,Makenna Smith,9.8750,9.9000,,9.7000
Utah,2026,1,no meet title,Jan-02-2026,Utah,Poppy-Grace Stickler,,,,9.7750
Utah,2026,1,no meet title,Jan-02-2026,Utah,Bailey Stroud,,9.7500,9.8000,9.8500
Utah,2026,1,no meet title,Jan-02-2026,Utah,Camie Winger,,,,9.8000
Utah,2026,1,no meet title,Jan-02-2026,Utah,Ella Zirbes,9.7000,9.8750,9.8750,9.9000
Utah,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Elizabeth Gantner,,,9.8750,
Utah,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Ashley Glynn,9.9750,,,
Utah,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Zoe Johnson,9.8750,,,
Utah,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Avery Neff,10.0000,9.8500,9.7750,9.8750
Utah,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Ana Padurariu,,8.9250,9.8000,
Utah,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Clara Raposo,9.8000,,,
Utah,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Abbi Ryssman,,9.8250,9.1750,
Utah,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Makenna Smith,9.8250,9.8500,,9.8500
Utah,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Poppy-Grace Stickler,,,,9.7000
Utah,2026,2,Sprouts Farmers Market Collegiate Quad,Jan-10-2026,,Bailey Stroud,,9.9000,9.2500,9.1000
