team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Jenna DiPalo,9.5500,,9.3000,
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Alisya Dorman,9.1500,8.7250,9.4500,9.7000
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Adisson Ferri,,,,9.5500
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Alyssa Langston,,9.6750,9.2250,
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Camille Lindley,,8.9250,,
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Grace Marra,9.5250,7.1500,9.5750,9.8750
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Angelina Merulla,,,,9.3250
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Haley Miller,9.3250,,9.4250,
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Ainsley Pinkard,,6.8500,,
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Emily Plone,,,,9.6750
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Christina Troche,,9.1500,,9.4500
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Madison Villani,9.4500,,8.6000,
Utica,2026,1,no meet title,Jan-17-2026,Southern Conn.,Joscelyn Wabick,8.9500,,,
Utica,2026,2,no meet title,Jan-23-2026,Utica,Jenna DiPalo,9.4500,,9.4750,
Utica,2026,2,no meet title,Jan-23-2026,Utica,Alisya Dorman,9.6000,8.4750,9.7750,9.4250
Utica,2026,2,no meet title,Jan-23-2026,Utica,Adisson Ferri,,,,9.0500
Utica,2026,2,no meet title,Jan-23-2026,Utica,Lola Kiesel,,,,8.7500
Utica,2026,2,no meet title,Jan-23-2026,Utica,Alyssa Langston,,9.6000,9.6000,
Utica,2026,2,no meet title,Jan-23-2026,Utica,Camille Lindley,,9.7000,,
Utica,2026,2,no meet title,Jan-23-2026,Utica,Grace Marra,9.4750,8.8500,9.7000,9.7500
Utica,2026,2,no meet title,Jan-23-2026,Utica,Haley Miller,9.3250,,9.6250,
Utica,2026,2,no meet title,Jan-23-2026,Utica,Emily Plone,,,8.8250,9.6000
Utica,2026,2,no meet title,Jan-23-2026,Utica,Claire Rieder,,9.0500,,
Utica,2026,2,no meet title,Jan-23-2026,Utica,Olivia Rosen,9.2750,,,
Utica,2026,2,no meet title,Jan-23-2026,Utica,Christina Troche,,7.5250,,9.4000
Utica,2026,2,no meet title,Jan-23-2026,Utica,Joscelyn Wabick,9.0250,,,
Utica,2026,3,no meet title,Feb-08-2026,Utica,Jenna DiPalo,9.4500,,8.5500,
Utica,2026,3,no meet title,Feb-08-2026,Utica,Alisya Dorman,9.6750,8.5250,9.0250,9.7500
Utica,2026,3,no meet title,Feb-08-2026,Utica,Adisson Ferri,,,,9.3250
Utica,2026,3,no meet title,Feb-08-2026,Utica,Lola Kiesel,,,,8.9000
Utica,2026,3,no meet title,Feb-08-2026,Utica,Alyssa Langston,,9.7500,8.9750,
Utica,2026,3,no meet title,Feb-08-2026,Utica,Camille Lindley,,9.5750,,
Utica,2026,3,no meet title,Feb-08-2026,Utica,Grace Marra,9.5500,8.8500,9.4500,9.7500
Utica,2026,3,no meet title,Feb-08-2026,Utica,Haley Miller,9.3500,,9.4000,
Utica,2026,3,no meet title,Feb-08-2026,Utica,Emily Plone,,,,9.5250
Utica,2026,3,no meet title,Feb-08-2026,Utica,Claire Rieder,,9.3000,,
Utica,2026,3,no meet title,Feb-08-2026,Utica,Olivia Rosen,8.8500,,,
Utica,2026,3,no meet title,Feb-08-2026,Utica,Christina Troche,,8.8750,,9.1750
Utica,2026,3,no meet title,Feb-08-2026,Utica,Madison Villani,9.5000,,9.0250,
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Jenna DiPalo,9.4250,,9.4750,
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Alisya Dorman,9.5250,8.9500,9.4000,9.7500
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Adisson Ferri,,,,9.7000
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Lola Kiesel,,,,9.3250
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Alyssa Langston,,9.4500,,
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Camille Lindley,,9.6250,,
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Grace Marra,9.5000,9.0500,9.1500,9.8500
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Haley Miller,9.1750,,9.5500,
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Emily Plone,,,8.8000,9.7500
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Claire Rieder,,7.1750,,
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Christina Troche,,9.1500,,9.5750
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Madison Villani,9.4000,,9.0500,
Utica,2026,4,no meet title,Feb-14-2026,Cortland State,Joscelyn Wabick,9.1500,,,
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Jenna DiPalo,9.3250,,8.7750,
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Alisya Dorman,9.6000,8.6250,9.4250,9.5500
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Adisson Ferri,,,,8.8250
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Emmy Graff,,,,9.0000
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Alyssa Langston,,9.3000,9.1750,
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Camille Lindley,,9.6500,,
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Grace Marra,9.4000,9.0250,9.3750,9.7000
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Haley Miller,9.3250,,9.2500,
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Emily Plone,,,,9.5000
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Christina Troche,,9.1500,,9.1500
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Madison Villani,9.4250,,9.2500,
Utica,2026,5,no meet title,Feb-21-2026,Cortland State,Joscelyn Wabick,9.1750,,,
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Lexi Bregande,,7.7000,,
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Jenna DiPalo,9.5000,,9.1500,
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Alisya Dorman,9.6500,8.8250,9.5500,9.5250
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Adisson Ferri,,,,9.1250
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Olivia Fragala,,,9.1000,
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Emmy Graff,,,,8.0000
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Alyssa Langston,,8.3000,,
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Camille Lindley,,9.3500,,
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Grace Marra,9.3500,9.0000,9.2000,9.7500
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Haley Miller,9.3750,,9.3500,
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Emily Plone,,,,9.5500
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Christina Troche,,9.0250,,9.3500
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Madison Villani,9.4000,,9.1000,
Utica,2026,6,no meet title,Feb-22-2026,Brockport,Joscelyn Wabick,9.0250,,,
Utica,2026,7,no meet title,Mar-01-2026,Utica,Jenna DiPalo,9.4500,,8.6000,
Utica,2026,7,no meet title,Mar-01-2026,Utica,Alisya Dorman,9.5750,8.9750,9.6500,9.7000
Utica,2026,7,no meet title,Mar-01-2026,Utica,Adisson Ferri,,,,9.2000
Utica,2026,7,no meet title,Mar-01-2026,Utica,Olivia Fragala,,,8.3500,
Utica,2026,7,no meet title,Mar-01-2026,Utica,Emmy Graff,,,,8.5000
Utica,2026,7,no meet title,Mar-01-2026,Utica,Alyssa Langston,,8.5250,,
Utica,2026,7,no meet title,Mar-01-2026,Utica,Camille Lindley,,9.4750,,
Utica,2026,7,no meet title,Mar-01-2026,Utica,Grace Marra,9.5250,8.9750,9.7000,9.7750
Utica,2026,7,no meet title,Mar-01-2026,Utica,Haley Miller,9.1750,,9.2500,
Utica,2026,7,no meet title,Mar-01-2026,Utica,Emily Plone,,,,9.6000
Utica,2026,7,no meet title,Mar-01-2026,Utica,Claire Rieder,,9.1000,,
Utica,2026,7,no meet title,Mar-01-2026,Utica,Christina Troche,,9.1750,,9.3250
Utica,2026,7,no meet title,Mar-01-2026,Utica,Madison Villani,9.5250,,8.8000,
