team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Washington,2026,1,no meet title,Jan-03-2026,Washington,Kira Bolden,9.7250,,,9.7750
Washington,2026,1,no meet title,Jan-03-2026,Washington,Haley Fichiera,,,,9.8250
Washington,2026,1,no meet title,Jan-03-2026,Washington,Chelsea Hallinan,,,9.9000,
Washington,2026,1,no meet title,Jan-03-2026,Washington,Kristin Lin,9.7250,9.6750,9.8250,9.7750
Washington,2026,1,no meet title,Jan-03-2026,Washington,Mary McDonough,9.7750,9.7750,,9.5000
Washington,2026,1,no meet title,Jan-03-2026,Washington,Caitlin McWilliams,9.6250,9.7250,,9.8250
Washington,2026,1,no meet title,Jan-03-2026,Washington,Deiah Moody,,9.8250,9.8250,
Washington,2026,1,no meet title,Jan-03-2026,Washington,Lana Navarro,,,9.8500,
Washington,2026,1,no meet title,Jan-03-2026,Washington,Olivia Oppegard,,9.7250,9.8250,
Washington,2026,1,no meet title,Jan-03-2026,Washington,Jessica Schaffer,9.7250,,,9.7500
Washington,2026,1,no meet title,Jan-03-2026,Washington,Lilly Tubbs,9.7250,9.1500,9.8750,
Washington,2026,2,no meet title,Jan-09-2026,Arizona,Kira Bolden,9.8000,,,9.7000
Washington,2026,2,no meet title,Jan-09-2026,Arizona,Haley Fichiera,,,,9.8250
Washington,2026,2,no meet title,Jan-09-2026,Arizona,Chelsea Hallinan,,,9.9000,9.6750
Washington,2026,2,no meet title,Jan-09-2026,Arizona,Kristin Lin,9.7000,9.6250,9.8250,9.7500
Washington,2026,2,no meet title,Jan-09-2026,Arizona,Mary McDonough,9.6750,8.8250,,
Washington,2026,2,no meet title,Jan-09-2026,Arizona,Caitlin McWilliams,9.4000,9.6500,,9.8250
Washington,2026,2,no meet title,Jan-09-2026,Arizona,Deiah Moody,,9.7250,9.6500,
Washington,2026,2,no meet title,Jan-09-2026,Arizona,Lana Navarro,,,9.6500,
Washington,2026,2,no meet title,Jan-09-2026,Arizona,Olivia Oppegard,,9.6750,9.2000,
Washington,2026,2,no meet title,Jan-09-2026,Arizona,Jessica Schaffer,9.7500,,,9.6750
Washington,2026,2,no meet title,Jan-09-2026,Arizona,Lilly Tubbs,9.7500,9.7250,9.7750,
Washington,2026,3,no meet title,Jan-17-2026,Maryland,Kira Bolden,9.8000,,,
Washington,2026,3,no meet title,Jan-17-2026,Maryland,Chelsea Hallinan,,,9.8750,9.6500
Washington,2026,3,no meet title,Jan-17-2026,Maryland,Kristin Lin,9.6500,9.1250,9.7250,9.1500
Washington,2026,3,no meet title,Jan-17-2026,Maryland,Mary McDonough,8.4000,9.2250,,9.6500
Washington,2026,3,no meet title,Jan-17-2026,Maryland,Caitlin McWilliams,9.7250,9.7000,,9.8250
Washington,2026,3,no meet title,Jan-17-2026,Maryland,Deiah Moody,,9.8500,8.9250,
Washington,2026,3,no meet title,Jan-17-2026,Maryland,Lana Navarro,,,9.8250,
Washington,2026,3,no meet title,Jan-17-2026,Maryland,Thu Nguyen,,,,9.0500
Washington,2026,3,no meet title,Jan-17-2026,Maryland,Olivia Oppegard,,9.8250,9.5500,
Washington,2026,3,no meet title,Jan-17-2026,Maryland,Jessica Schaffer,9.8000,,,9.7250
Washington,2026,3,no meet title,Jan-17-2026,Maryland,Lilly Tubbs,9.5250,9.7000,9.8000,
Washington,2026,4,no meet title,Jan-23-2026,Washington,Kira Bolden,9.8250,,,
Washington,2026,4,no meet title,Jan-23-2026,Washington,Chelsea Hallinan,,,9.8750,9.8250
Washington,2026,4,no meet title,Jan-23-2026,Washington,Kristin Lin,9.7250,9.7250,9.8750,9.9000
Washington,2026,4,no meet title,Jan-23-2026,Washington,Mary McDonough,9.8250,9.5000,,9.8250
Washington,2026,4,no meet title,Jan-23-2026,Washington,Caitlin McWilliams,9.7000,9.5500,,9.8500
Washington,2026,4,no meet title,Jan-23-2026,Washington,Deiah Moody,,9.8250,8.9500,
Washington,2026,4,no meet title,Jan-23-2026,Washington,Lana Navarro,,,8.9250,9.7500
Washington,2026,4,no meet title,Jan-23-2026,Washington,Olivia Oppegard,,9.7250,9.7500,
Washington,2026,4,no meet title,Jan-23-2026,Washington,Jessica Schaffer,9.7000,,,9.8750
Washington,2026,4,no meet title,Jan-23-2026,Washington,Lilly Tubbs,9.8250,9.9000,9.8750,
Washington,2026,5,no meet title,Jan-30-2026,UCLA,Kira Bolden,9.8500,,,
Washington,2026,5,no meet title,Jan-30-2026,UCLA,Chelsea Hallinan,,,9.8750,9.8000
Washington,2026,5,no meet title,Jan-30-2026,UCLA,Kristin Lin,9.8250,9.7750,9.8000,9.8750
Washington,2026,5,no meet title,Jan-30-2026,UCLA,Mary McDonough,9.7750,9.9000,,9.9000
