team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Sarah Eskew,9.7000,9.7500,,
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Corinne Gruber,9.3000,,9.1750,9.7000
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Macarthy Keane,,,8.8500,
West Chester,2026,1,no meet title,Jan-09-2026,Towson,EmmaGrace Kelly,,,9.4250,
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Anna Lacey,,,,9.7000
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Madelyn McCullough,,,,
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Tatum McGuinn,,,9.6000,
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Grace McNamara,,8.2500,,
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Melina Ringas,,9.6500,8.8500,
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Hannah Shelton,,8.5000,,
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Gianna Smith,9.6000,8.8000,,9.5250
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Aly Sobczak,9.3500,,,9.6500
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Lydia Stoner,,,9.5750,9.7250
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Katelynne Tatum,9.5250,,,
West Chester,2026,1,no meet title,Jan-09-2026,Towson,Karah Vargo,9.5000,8.6000,,9.4500
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Sarah Eskew,9.6750,9.5500,,
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Ava Griffith,9.6500,,,
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Corinne Gruber,,,,9.5750
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Macarthy Keane,,,9.0000,
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,EmmaGrace Kelly,,,9.3750,
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Anna Lacey,,,9.3500,9.5500
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Madelyn McCullough,,9.5750,,
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Tatum McGuinn,,,9.7250,
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Grace McNamara,,9.7000,,
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Melina Ringas,,9.4750,,
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Gianna Smith,9.6000,9.6000,9.7250,9.6250
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Aly Sobczak,9.5500,,,9.2500
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Lydia Stoner,,,9.7750,9.4500
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Katelynne Tatum,9.5000,,,
West Chester,2026,2,no meet title,Jan-18-2026,George Washington,Karah Vargo,9.5250,9.2000,,9.5500
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Sarah Eskew,9.7750,9.6500,,
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Ava Griffith,9.5250,,,
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Corinne Gruber,,,,9.5500
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Catherine Keener,,,,9.4000
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,EmmaGrace Kelly,,,9.5500,
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Anna Lacey,,,9.5500,9.7500
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Madelyn McCullough,,9.5500,,
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Tatum McGuinn,,,9.7500,
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Grace McNamara,,9.5250,,
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Melina Ringas,,9.6000,9.6000,
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Lianna Schultz,,8.7250,,
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Gianna Smith,9.6250,9.6250,9.7000,9.6750
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Aly Sobczak,9.6000,,,8.9250
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Lydia Stoner,,,9.6500,9.6500
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Katelynne Tatum,9.4750,,,
West Chester,2026,3,no meet title,Jan-24-2026,West Chester,Karah Vargo,9.4250,,,
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Sarah Eskew,9.7000,9.6000,,
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Ava Griffith,9.6250,,,
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Corinne Gruber,,,,9.7250
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Catherine Keener,,,,9.6750
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,EmmaGrace Kelly,,,9.7000,
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Anna Lacey,,,9.4500,9.6500
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Madelyn McCullough,,9.6750,,
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Tatum McGuinn,,,9.8250,
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Grace McNamara,,9.6500,,
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Melina Ringas,,9.6000,9.4250,
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Gianna Smith,9.6250,9.8250,9.4500,9.7500
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Aly Sobczak,9.5750,,,9.6500
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Lydia Stoner,,,8.7750,9.0500
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Katelynne Tatum,9.4750,,,
West Chester,2026,4,no meet title,Jan-31-2026,West Chester,Karah Vargo,9.4500,9.2000,,
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Sarah Eskew,9.6750,9.7000,,
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Ava Griffith,9.5250,8.9500,,
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Corinne Gruber,9.5500,,,9.7750
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Macarthy Keane,,,9.5750,
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Catherine Keener,,,,9.4750
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,EmmaGrace Kelly,,,9.4500,
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Anna Lacey,,,9.0250,9.8250
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Jaslyn McComeskey,9.7000,,,
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Madelyn McCullough,,9.5750,,
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Tatum McGuinn,,,9.7250,
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Grace McNamara,,9.5000,,
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Melina Ringas,,9.5250,8.4500,
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Lianna Schultz,,8.8750,,
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Aly Sobczak,9.5500,,,9.7250
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Lydia Stoner,,,9.7250,8.8750
West Chester,2026,5,no meet title,Feb-07-2026,Bridgeport,Karah Vargo,9.6250,,,9.3750
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Sarah Eskew,9.5750,8.1750,,
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Ava Griffith,9.7000,,,
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Corinne Gruber,,,,9.8250
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Macarthy Keane,,,9.5750,
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Catherine Keener,,,,9.6500
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,EmmaGrace Kelly,,,9.7750,
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Anna Lacey,,,9.6500,9.9000
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Jaslyn McComeskey,9.1500,,,
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Madelyn McCullough,,8.7250,,
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Tatum McGuinn,,,9.7250,
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Grace McNamara,,9.4750,,
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Melina Ringas,,9.5000,,
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Lianna Schultz,,9.5000,,
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Aly Sobczak,9.5500,,,9.7000
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Lydia Stoner,,,9.6000,9.7250
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Katelynne Tatum,9.5250,,9.4750,9.5250
West Chester,2026,6,no meet title,Feb-13-2026,West Chester,Karah Vargo,9.5250,9.3750,,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Sarah Eskew,9.7250,9.8000,,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Ava Griffith,9.6000,,,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Corinne Gruber,9.3750,,,9.7500
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Macarthy Keane,,,9.6000,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Catherine Keener,,,,9.4500
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,EmmaGrace Kelly,,,9.7500,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Anna Lacey,,,9.6000,9.8000
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Jaslyn McComeskey,9.5500,,,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Madelyn McCullough,,9.6250,,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Tatum McGuinn,,,9.7500,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Melina Ringas,,9.5750,8.8750,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Lianna Schultz,,9.1750,,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Hannah Shelton,,9.4750,,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Aly Sobczak,9.4500,,,9.6000
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Lydia Stoner,,,9.6750,9.6000
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Karah Vargo,9.5500,9.4750,,
West Chester,2026,7,no meet title,Feb-15-2026,Pennsylvania,Ziyan Williams,,,,9.5000
West Chester,2026,8,no meet title,Feb-22-2026,Ursinus College,Sarah Eskew,9.7250,9.7250,,
West Chester,2026,8,no meet title,Feb-22-2026,Ursinus College,Ava Griffith,9.5000,,,
