team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Kaylei Adams,,9.7250,9.8000,
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Karleigh DiCello,9.6750,,9.0500,
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Amber Lowe,,9.7250,9.0000,9.7250
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Jayden McDonnell,,9.7000,,
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Haley Mendoza,,9.6750,9.6500,
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Carlee Nelson,9.8500,,9.6250,9.6250
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Auden Pederson,,,,9.8250
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Sophia Rice,9.8250,,,7.6000
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Kaelyn Skeel,,9.5250,,
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Emerson Smith,9.7750,,,9.7750
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Kayla Smith,9.8000,9.5250,9.4000,9.8000
West Virginia,2026,1,no meet title,Jan-09-2026,Florida,Taylor Tuohy,9.7750,,,
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Kaylei Adams,,7.8750,9.2750,
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Karleigh DiCello,9.7250,,8.6500,
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Amber Lowe,,9.7750,9.7250,9.5250
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Jayden McDonnell,,9.6750,,
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Haley Mendoza,,9.6750,8.1000,
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Carlee Nelson,9.7250,,9.1500,9.6500
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Auden Pederson,,,,9.4000
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Sophia Rice,9.8000,,,9.7250
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Kaelyn Skeel,,9.6750,,
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Emerson Smith,9.7000,,,9.7000
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Kayla Smith,9.7750,9.6250,9.7500,9.6750
West Virginia,2026,2,no meet title,Jan-18-2026,Kent State,Taylor Tuohy,9.7500,,,
West Virginia,2026,3,no meet title,Jan-24-2026,West Virginia,Kaylei Adams,,,9.6750,
West Virginia,2026,3,no meet title,Jan-24-2026,West Virginia,Karleigh DiCello,9.8750,,,
