team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Isabella Ciolfi,9.7250,,9.7250,9.6250
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Kennedy Cooper,9.6500,,,9.7250
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Reilan Garvey,,9.7000,9.8000,
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Brooke Gelesko,9.7750,,,
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Aliyah Kelly,9.7000,,,8.7500
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Makenna King,,8.9000,,
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Julie Korfhage,,9.7750,8.1500,9.7500
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Hannah Milton,9.6750,,,9.8000
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Casey Mooney,9.7750,9.7500,9.7750,9.4250
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Kate Parks,,9.7250,,
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Amy Robins,,,,
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Molly Sabin,,,,
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Reese Samuelson,,9.6250,9.8250,
Western Michigan,2026,1,no meet title,Jan-04-2026,Western Michigan,Linda Uro,,,9.7750,
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Isabella Ciolfi,9.6750,,9.7500,9.6250
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Kennedy Cooper,9.7250,,,9.4000
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Reilan Garvey,,9.8000,9.7000,
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Brooke Gelesko,9.6250,,,9.7500
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Aliyah Kelly,9.6750,9.7000,,
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Julie Korfhage,,9.6000,8.8000,9.6000
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Casey Mooney,9.7250,7.3000,9.7500,8.8750
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Amy Robins,,9.6750,,
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Molly Sabin,,,,9.6500
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Reese Samuelson,,9.8750,9.7000,
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Linda Uro,,,8.9500,
Western Michigan,2026,2,no meet title,Jan-11-2026,Ball State,Kyler Webster,9.7000,,,
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Isabella Ciolfi,9.7750,,9.6750,9.2750
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Kennedy Cooper,9.6500,,,9.7750
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Reilan Garvey,,9.7250,9.5500,
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Brooke Gelesko,9.8000,,,9.8000
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Aliyah Kelly,9.6000,9.2500,,9.8000
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Makenna King,9.8250,9.7500,,
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Julie Korfhage,,9.7750,,
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Hannah Milton,9.7000,,9.7500,9.8000
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Kate Parks,,9.7250,,
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Molly Sabin,,,9.6000,9.7500
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Reese Samuelson,,9.7500,9.7000,
Western Michigan,2026,3,no meet title,Jan-18-2026,Central Michigan,Linda Uro,,,9.0250,
Western Michigan,2026,4,no meet title,Jan-23-2026,Sacramento State,Isabella Ciolfi,9.7000,,9.5000,9.7750
Western Michigan,2026,4,no meet title,Jan-23-2026,Sacramento State,Kennedy Cooper,9.6500,,,9.6000
Western Michigan,2026,4,no meet title,Jan-23-2026,Sacramento State,Reilan Garvey,,9.7750,9.7750,
Western Michigan,2026,4,no meet title,Jan-23-2026,Sacramento State,Brooke Gelesko,9.7000,,,9.7250
Western Michigan,2026,4,no meet title,Jan-23-2026,Sacramento State,Aliyah Kelly,9.7000,9.7750,,
Western Michigan,2026,4,no meet title,Jan-23-2026,Sacramento State,Makenna King,9.4000,9.7500,,
Western Michigan,2026,4,no meet title,Jan-23-2026,Sacramento State,Julie Korfhage,,9.7000,9.7500,9.6750
Western Michigan,2026,4,no meet title,Jan-23-2026,Sacramento State,Hannah Milton,9.7500,,9.7500,9.7250
Western Michigan,2026,4,no meet title,Jan-23-2026,Sacramento State,Amy Robins,,9.5500,,
Western Michigan,2026,4,no meet title,Jan-23-2026,Sacramento State,Molly Sabin,,,9.7500,9.5000
Western Michigan,2026,4,no meet title,Jan-23-2026,Sacramento State,Reese Samuelson,,9.8500,9.6500,
Western Michigan,2026,5,no meet title,Feb-01-2026,Western Michigan,Isabella Ciolfi,9.8000,,9.7500,9.5750
Western Michigan,2026,5,no meet title,Feb-01-2026,Western Michigan,Kennedy Cooper,9.8000,,,8.9250
Western Michigan,2026,5,no meet title,Feb-01-2026,Western Michigan,Reilan Garvey,,9.7500,9.8000,
Western Michigan,2026,5,no meet title,Feb-01-2026,Western Michigan,Brooke Gelesko,9.7500,,,9.7750
Western Michigan,2026,5,no meet title,Feb-01-2026,Western Michigan,Aliyah Kelly,9.6750,9.7750,,9.7500
Western Michigan,2026,5,no meet title,Feb-01-2026,Western Michigan,Makenna King,9.7750,9.7750,,
Western Michigan,2026,5,no meet title,Feb-01-2026,Western Michigan,Julie Korfhage,,9.7750,9.8000,9.8250
Western Michigan,2026,5,no meet title,Feb-01-2026,Western Michigan,Hannah Milton,9.7750,,,9.8000
Western Michigan,2026,5,no meet title,Feb-01-2026,Western Michigan,Casey Mooney,,9.5750,9.7750,
Western Michigan,2026,5,no meet title,Feb-01-2026,Western Michigan,Molly Sabin,,,9.2000,
Western Michigan,2026,5,no meet title,Feb-01-2026,Western Michigan,Reese Samuelson,,9.8000,9.8750,
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Isabella Ciolfi,9.8250,,9.7250,9.7250
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Kennedy Cooper,9.8000,,,
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Reilan Garvey,,9.7250,9.7250,
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Brooke Gelesko,9.8000,,,9.8500
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Aliyah Kelly,9.6250,,,9.7750
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Makenna King,9.6500,9.7500,,
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Julie Korfhage,,9.8250,9.7750,9.8250
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Hannah Milton,9.7500,,9.7000,9.8250
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Casey Mooney,,9.7250,9.7000,
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Kate Parks,,9.8000,,
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Molly Sabin,,,,9.8000
Western Michigan,2026,6,no meet title,Feb-06-2026,Northern Illinois,Reese Samuelson,,9.8500,9.8000,
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Isabella Ciolfi,9.7250,,8.9250,
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Kennedy Cooper,9.7000,,,9.8250
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Reilan Garvey,,9.8500,9.6750,
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Brooke Gelesko,9.8000,,,9.8750
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Aliyah Kelly,9.5750,,,9.8000
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Makenna King,9.8000,9.8000,,
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Julie Korfhage,,9.8750,9.8000,9.8000
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Hannah Milton,9.8000,,9.7250,9.7500
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Casey Mooney,,9.7000,9.2000,
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Kate Parks,,9.8750,,
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Molly Sabin,,,,9.7750
Western Michigan,2026,7,no meet title,Feb-15-2026,Michigan State,Reese Samuelson,,9.8500,9.6750,
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Isabella Ciolfi,9.7750,,9.7750,
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Kennedy Cooper,9.7500,,,9.8000
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Reilan Garvey,,9.7250,9.8000,
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Brooke Gelesko,9.8000,,,9.8500
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Aliyah Kelly,,,,9.7000
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Makenna King,9.8000,9.7500,,
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Julie Korfhage,,9.7500,9.9000,9.8500
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Hannah Milton,9.7250,,9.8500,9.8250
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Casey Mooney,9.7250,9.7250,9.7000,
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Kate Parks,,9.7250,,
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Amy Robins,,,,
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Molly Sabin,,,,9.8250
Western Michigan,2026,8,no meet title,Feb-22-2026,Western Michigan,Reese Samuelson,,9.7500,9.8000,
Western Michigan,2026,9,no meet title,Feb-27-2026,Eastern Michigan,Isabella Ciolfi,9.8250,,9.7000,
Western Michigan,2026,9,no meet title,Feb-27-2026,Eastern Michigan,Kennedy Cooper,9.8000,,,9.6750
