team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Wilberforce,2026,1,no meet title,Jan-04-2026,Western Michigan,Mya Caines,9.3500,8.4000,9.1000,7.8250
Wilberforce,2026,1,no meet title,Jan-04-2026,Western Michigan,Mikayla Clements,9.1500,,,7.4750
Wilberforce,2026,1,no meet title,Jan-04-2026,Western Michigan,Diamond Cook,,,,9.2000
Wilberforce,2026,1,no meet title,Jan-04-2026,Western Michigan,Hannah Gouldbourne,9.3000,,,
Wilberforce,2026,1,no meet title,Jan-04-2026,Western Michigan,Danielle Johnson,,6.4500,,
Wilberforce,2026,1,no meet title,Jan-04-2026,Western Michigan,Madison Kelly,,7.2000,8.6500,8.6500
Wilberforce,2026,1,no meet title,Jan-04-2026,Western Michigan,Myca Kelly,,,9.2000,
Wilberforce,2026,1,no meet title,Jan-04-2026,Western Michigan,Sydney Smith,9.2750,9.4250,9.3250,
Wilberforce,2026,2,no meet title,Jan-11-2026,Fisk,Jaidyn Bryant,,8.4750,,
Wilberforce,2026,2,no meet title,Jan-11-2026,Fisk,Mya Caines,,7.7750,,
Wilberforce,2026,2,no meet title,Jan-11-2026,Fisk,Mikayla Clements,8.9500,,,7.3000
Wilberforce,2026,2,no meet title,Jan-11-2026,Fisk,Diamond Cook,9.0750,,7.5500,8.7000
Wilberforce,2026,2,no meet title,Jan-11-2026,Fisk,Hannah Gouldbourne,9.2000,7.1000,,7.5500
Wilberforce,2026,2,no meet title,Jan-11-2026,Fisk,Danielle Johnson,,7.5000,,
Wilberforce,2026,2,no meet title,Jan-11-2026,Fisk,Myca Kelly,,,8.9000,
Wilberforce,2026,2,no meet title,Jan-11-2026,Fisk,Madison Kelly,,8.1500,8.5750,8.9750
Wilberforce,2026,2,no meet title,Jan-11-2026,Fisk,Sadara Mayhorn,9.0500,,8.0000,
Wilberforce,2026,2,no meet title,Jan-11-2026,Fisk,Sydney Smith,9.4250,9.2500,8.9500,
Wilberforce,2026,2,no meet title,Jan-11-2026,Fisk,Saniah Smith,,,7.1000,8.5000
Wilberforce,2026,3,Windy City,Jan-16-2026,,Jaidyn Bryant,,9.0500,7.8500,
Wilberforce,2026,3,Windy City,Jan-16-2026,,Mackenzie Butler,9.0000,,8.8250,
Wilberforce,2026,3,Windy City,Jan-16-2026,,Mya Caines,9.3750,8.7000,8.4750,8.1250
Wilberforce,2026,3,Windy City,Jan-16-2026,,Diamond Cook,9.0750,,,9.5500
Wilberforce,2026,3,Windy City,Jan-16-2026,,Kaleigh Garner,8.3500,,,
Wilberforce,2026,3,Windy City,Jan-16-2026,,Hannah Gouldbourne,9.3000,8.5500,,7.8250
Wilberforce,2026,3,Windy City,Jan-16-2026,,Danielle Johnson,,7.5750,,
Wilberforce,2026,3,Windy City,Jan-16-2026,,Myca Kelly,,,9.1750,
Wilberforce,2026,3,Windy City,Jan-16-2026,,Madison Kelly,,8.2250,9.1000,8.5750
Wilberforce,2026,3,Windy City,Jan-16-2026,,Sadara Mayhorn,8.6500,,,
Wilberforce,2026,3,Windy City,Jan-16-2026,,Saniah Smith,,,9.0250,8.6750
Wilberforce,2026,3,Windy City,Jan-16-2026,,Sydney Smith,,9.6000,,
Wilberforce,2026,4,no meet title,Jan-23-2026,Alaska,Jaidyn Bryant,,6.3000,8.5750,
Wilberforce,2026,4,no meet title,Jan-23-2026,Alaska,Mackenzie Butler,9.0250,,8.1250,
Wilberforce,2026,4,no meet title,Jan-23-2026,Alaska,Mya Caines,9.2250,8.3750,7.9250,9.1500
Wilberforce,2026,4,no meet title,Jan-23-2026,Alaska,Mikayla Clements,9.0250,,,7.5000
Wilberforce,2026,4,no meet title,Jan-23-2026,Alaska,Diamond Cook,9.3250,,,9.6000
Wilberforce,2026,4,no meet title,Jan-23-2026,Alaska,Kaleigh Garner,9.0750,,,
Wilberforce,2026,4,no meet title,Jan-23-2026,Alaska,Hannah Gouldbourne,8.6000,7.0000,,
Wilberforce,2026,4,no meet title,Jan-23-2026,Alaska,Myca Kelly,,,8.4500,
Wilberforce,2026,4,no meet title,Jan-23-2026,Alaska,Madison Kelly,,7.9000,,9.0500
Wilberforce,2026,4,no meet title,Jan-23-2026,Alaska,Sydney Smith,,9.0250,9.0250,
Wilberforce,2026,4,no meet title,Jan-23-2026,Alaska,Saniah Smith,,,8.3000,9.2500
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Jaidyn Bryant,,8.3500,9.0250,
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Mackenzie Butler,9.2250,,8.9750,
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Mya Caines,8.9500,8.5500,8.5500,8.6250
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Mikayla Clements,9.0500,,,
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Diamond Cook,,,,9.3500
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Kaleigh Garner,9.2750,,,7.8000
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Promise Jean-Marie,,7.0500,,
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Myca Kelly,,,9.1000,
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Madison Kelly,,4.9000,8.5250,8.9250
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Sadara Mayhorn,9.4500,,,
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Saniah Smith,,,9.4250,9.4000
Wilberforce,2026,5,no meet title,Jan-25-2026,Alaska,Sydney Smith,9.2500,8.9750,,
Wilberforce,2026,6,no meet title,Jan-29-2026,Eastern Michigan,Jaidyn Bryant,,,9.6000,
Wilberforce,2026,6,no meet title,Jan-29-2026,Eastern Michigan,Mackenzie Butler,9.1000,,,
Wilberforce,2026,6,no meet title,Jan-29-2026,Eastern Michigan,Mya Caines,9.2000,8.6500,8.4000,8.5000
Wilberforce,2026,6,no meet title,Jan-29-2026,Eastern Michigan,Mikayla Clements,9.0250,,,
Wilberforce,2026,6,no meet title,Jan-29-2026,Eastern Michigan,Diamond Cook,9.4250,,,9.7000
Wilberforce,2026,6,no meet title,Jan-29-2026,Eastern Michigan,Kaleigh Garner,9.2250,,,8.4000
Wilberforce,2026,6,no meet title,Jan-29-2026,Eastern Michigan,Myca Kelly,,,7.1500,
Wilberforce,2026,6,no meet title,Jan-29-2026,Eastern Michigan,Madison Kelly,,9.0750,9.5000,9.3750
Wilberforce,2026,6,no meet title,Jan-29-2026,Eastern Michigan,Sadara Mayhorn,8.9250,,,
Wilberforce,2026,6,no meet title,Jan-29-2026,Eastern Michigan,Saniah Smith,,,9.5000,9.5750
