team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Catherine Bare,,9.6250,,
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Samantha Burd,,,9.5250,
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Hannah Burke,9.6750,,,9.6500
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Melanie Faulkner,,,9.6000,9.4750
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Jasmine Hou,,,9.6000,
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Ascha Laird,,9.4750,,
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Michelle Ngo,9.4500,9.5000,,9.5500
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Addison Pabellon,9.6500,9.5000,,
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Kate Peebles,,8.7250,,
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Summer Penzi,,,9.4250,9.6500
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Ashley Ruedy,9.5250,,8.8750,9.6250
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Sophia Summers,9.4500,,9.7750,9.4500
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Brynn Vetrano,,7.7750,,
William & Mary,2026,1,no meet title,Jan-24-2026,West Chester,Sally Wood,9.4750,,,
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Catherine Bare,9.6500,9.6250,,
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Hannah Burke,9.6500,,,9.7500
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Melanie Faulkner,,,9.7000,
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Jasmine Hou,,,9.1500,
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Ascha Laird,,9.3500,,
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Michelle Ngo,9.3500,9.2250,9.5000,9.6750
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Addison Pabellon,,9.5250,,
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Kate Peebles,,8.8500,,
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Summer Penzi,,,9.7250,9.4000
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Ashley Ruedy,9.3250,,9.7750,9.6750
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Sophia Summers,9.6750,,9.7250,9.6000
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Brynn Vetrano,,7.1000,,9.5000
William & Mary,2026,2,no meet title,Feb-06-2026,Pennsylvania,Sally Wood,9.3500,,,
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Catherine Bare,,9.7250,,
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Samantha Burd,,,9.5750,
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Hannah Burke,9.7000,,,9.8250
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Melanie Faulkner,,,9.6000,9.5250
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Melissa Gao,,9.4250,,
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Jasmine Hou,,,9.6000,
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Ascha Laird,,9.2500,,
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Michelle Ngo,9.4750,9.7000,,9.6750
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Addison Pabellon,9.5750,9.2000,,
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Kate Peebles,,8.8250,,
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Summer Penzi,,,9.7000,
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Ashley Ruedy,9.5000,,9.5500,9.7500
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Sophia Summers,9.6000,,9.8000,9.5750
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Brynn Vetrano,,,,8.9500
William & Mary,2026,3,no meet title,Feb-13-2026,Temple,Sally Wood,8.9500,,,
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Catherine Bare,9.6500,9.7250,,
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Hannah Burke,9.6000,,,9.8250
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Melanie Faulkner,,,9.6750,9.2000
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Melissa Gao,,7.4500,,
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Jasmine Hou,,,9.6750,
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Ascha Laird,,9.7500,,
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Olivia Mile,,,9.4000,
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Michelle Ngo,,9.7500,,9.6250
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Addison Pabellon,9.5000,9.0500,,
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Kate Peebles,,9.6000,,
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Summer Penzi,,,9.5750,
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Ashley Ruedy,9.5000,,8.8000,9.7750
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Sophia Summers,9.6000,,9.6500,9.5250
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Brynn Vetrano,,,,9.5500
William & Mary,2026,4,no meet title,Feb-15-2026,George Washington,Sally Wood,9.2500,,,
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Catherine Bare,9.6750,9.7750,,
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Samantha Burd,,,9.6000,
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Hannah Burke,9.5500,,,9.7750
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Melanie Faulkner,,,9.7000,
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Melissa Gao,,8.4250,,
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Jasmine Hou,,,9.6250,
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Ascha Laird,,8.6250,,
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Michelle Ngo,9.4500,9.6500,,9.7750
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Addison Pabellon,9.5250,8.5750,,
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Kate Peebles,,9.6750,,
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Summer Penzi,,,9.6000,9.3750
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Ashley Ruedy,9.5000,,9.7500,9.7750
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Sophia Summers,9.6000,,9.6750,9.8000
William & Mary,2026,5,no meet title,Feb-20-2026,UC Davis,Brynn Vetrano,,,,9.0250
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Catherine Bare,9.7000,9.7000,,
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Hannah Burke,9.7250,,,9.8250
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Melanie Faulkner,,,9.6000,
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Melissa Gao,9.4000,9.3500,9.0750,
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Jasmine Hou,,,9.6250,
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Ascha Laird,,9.5750,,
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Michelle Ngo,,9.3500,,9.6500
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Addison Pabellon,9.5000,,,
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Kate Peebles,,9.6250,,
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Summer Penzi,,,9.6750,
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Ashley Ruedy,,,9.3000,9.8000
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Sophia Summers,9.6500,,9.7250,9.6750
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Brynn Vetrano,,7.4500,,9.4500
William & Mary,2026,6,no meet title,Feb-22-2026,Sacramento State,Sally Wood,9.6250,,,9.7250
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Catherine Bare,9.6750,9.6500,,
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Hannah Burke,9.7750,,,9.9000
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Melanie Faulkner,,,9.0250,
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Madeline Frazier,,,9.3500,
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Melissa Gao,9.7250,9.5500,,
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Jasmine Hou,,,9.7000,
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Ascha Laird,,9.5000,,
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,McKenna Mullins,9.7500,,,
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Michelle Ngo,,9.4500,,9.7000
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Kate Peebles,,9.0500,,
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Summer Penzi,,,8.9750,9.5250
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Ashley Ruedy,,,8.6250,9.8750
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Sophia Summers,9.6250,,9.7500,9.6500
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Brynn Vetrano,,9.3750,,
William & Mary,2026,7,HBCU Classic,Mar-08-2026,,Sally Wood,9.7000,,,9.7750
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Catherine Bare,,9.6750,,
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Hannah Burke,9.7500,,,9.7750
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Melanie Faulkner,,,9.8000,
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Madeline Frazier,,,9.8000,
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Melissa Gao,9.6750,9.6500,,
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Jasmine Hou,,,9.6500,
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Ascha Laird,,9.7500,,
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,McKenna Mullins,9.7000,,,
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Michelle Ngo,9.4250,8.4000,,9.7750
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Kate Peebles,,9.6750,,
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Summer Penzi,,,9.7250,
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Ashley Ruedy,,,,9.7500
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Sophia Summers,9.2500,,9.8500,9.7000
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Brynn Vetrano,,9.3250,,9.6000
William & Mary,2026,8,no meet title,Mar-12-2026,William & Mary,Sally Wood,9.7250,,9.5750,9.7000
William & Mary,2026,9,no meet title,Mar-14-2026,William & Mary,Catherine Bare,9.7500,9.7000,,
William & Mary,2026,9,no meet title,Mar-14-2026,William & Mary,Hannah Burke,9.7250,,,9.8250
William & Mary,2026,9,no meet title,Mar-14-2026,William & Mary,Melanie Faulkner,,9.6000,9.7000,
William & Mary,2026,9,no meet title,Mar-14-2026,William & Mary,Madeline Frazier,,,9.7500,
William & Mary,2026,9,no meet title,Mar-14-2026,William & Mary,Melissa Gao,9.6000,9.5000,,
William & Mary,2026,9,no meet title,Mar-14-2026,William & Mary,Jasmine Hou,,,9.6500,
William & Mary,2026,9,no meet title,Mar-14-2026,William & Mary,Ascha Laird,,9.7250,,
William & Mary,2026,9,no meet title,Mar-14-2026,William & Mary,McKenna Mullins,9.7250,,,
William & Mary,2026,9,no meet title,Mar-14-2026,William & Mary,Michelle Ngo,,9.7750,,9.8000
William & Mary,2026,9,no meet title,Mar-14-2026,William & Mary,Kate Peebles,,9.6750,,
William & Mary,2026,9,no meet title,Mar-14-2026,William & Mary,Summer Penzi,,,9.6500,9.7000
