team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Kaylee Bateman,,9.6000,9.4750,
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Ella Denno,,8.9000,,
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,LenÃ©e Dimkin,,,,9.6000
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Kaelyn Duman,,,9.6500,
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Harper Hamilton,,9.6750,8.6250,
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Irene Kearney,8.8500,9.6000,8.7250,
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Courtney Knutson,9.2250,,,9.3250
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Gabby Kraft,9.5250,,9.6000,9.6750
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Ashley-Elizabeth Lynch,,,8.9500,
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Frankie Jo MacAskill,9.2750,,,9.6500
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Taylor Magierka,9.5500,,,9.7250
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Jessica Miley,9.4250,9.6750,,9.3000
Winona State,2026,1,no meet title,Jan-03-2026,UW-Oshkosh,Addison Ward,,9.6500,,
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Kaylee Bateman,,9.8000,8.9000,
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Ella Denno,,8.8500,,
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,LenÃ©e Dimkin,,,,8.9000
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Madysen Diskerud,6.5000,,,
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Kaelyn Duman,,,9.5000,
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Harper Hamilton,,9.6750,9.5750,
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Irene Kearney,,9.2500,,
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Courtney Knutson,9.5500,,,9.3750
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Gabby Kraft,9.6000,,9.5000,8.5750
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Frankie Jo MacAskill,9.7250,,9.2500,9.8000
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Taylor Magierka,9.6000,,,9.7250
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Jessica Miley,9.6500,9.6000,,9.7000
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Aspen Peters,,,9.4000,
Winona State,2026,2,no meet title,Jan-09-2026,Air Force,Addison Ward,,8.6000,,
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Kaylee Bateman,,9.6750,9.7500,
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,LenÃ©e Dimkin,,,,9.5750
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Kaelyn Duman,,,9.1000,
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Harper Hamilton,,9.4000,9.7000,
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Irene Kearney,9.5750,9.2250,,
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Reagan Kelly,,,9.5000,
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Courtney Knutson,9.4250,,,9.5500
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Gabby Kraft,9.6750,,9.6750,9.4500
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Ashley-Elizabeth Lynch,,9.3000,,
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Frankie Jo MacAskill,9.2250,,,9.7250
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Taylor Magierka,8.9000,,,9.7500
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Jessica Miley,9.5250,9.6000,,9.6750
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Aspen Peters,,,8.7250,
Winona State,2026,3,no meet title,Jan-16-2026,Winona State,Addison Ward,,9.0250,,
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Molly Amrhein,9.5500,,,
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Kaylee Bateman,,7.6000,9.5750,
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Ella Denno,,8.8000,,
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,LenÃ©e Dimkin,,,,8.2500
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Kaelyn Duman,,,8.7000,
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Harper Hamilton,9.4250,9.2500,9.2500,
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Irene Kearney,9.5250,9.3750,,
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Reagan Kelly,,,9.6250,
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Courtney Knutson,9.5750,,,9.5000
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Gabby Kraft,9.6000,,8.9000,9.7000
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Ashley-Elizabeth Lynch,,9.1000,,
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Frankie Jo MacAskill,9.6250,,,9.8250
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Taylor Magierka,,,,9.7750
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Aspen Peters,,,9.4500,
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Rachel  Van Namen,,,,9.2250
Winona State,2026,4,no meet title,Jan-23-2026,Winona State,Addison Ward,,9.5250,,
Winona State,2026,5,no meet title,Feb-01-2026,Winona State,Molly Amrhein,9.4000,,,
Winona State,2026,5,no meet title,Feb-01-2026,Winona State,Kaylee Bateman,,9.5000,9.3000,
Winona State,2026,5,no meet title,Feb-01-2026,Winona State,Ella Denno,,9.4250,,
Winona State,2026,5,no meet title,Feb-01-2026,Winona State,LenÃ©e Dimkin,,,,9.2250
Winona State,2026,5,no meet title,Feb-01-2026,Winona State,Kaelyn Duman,,,8.9250,
Winona State,2026,5,no meet title,Feb-01-2026,Winona State,Harper Hamilton,,9.1000,8.7750,
Winona State,2026,5,no meet title,Feb-01-2026,Winona State,Irene Kearney,9.5250,9.4000,,
Winona State,2026,5,no meet title,Feb-01-2026,Winona State,Reagan Kelly,,,9.4750,
