team,year,meetnum,meettitle,date,host,gymnast,vault,bars,beam,floor
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Lily Aucoin,9.6000,9.7000,,
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Annie Bilbe,9.6750,,,
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Megan Brueck,,,,9.7250
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Lauren Burt,9.7000,,,9.7500
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Chloe DeJoy,,9.7750,,9.7500
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Meredith Donovan,9.5250,,,
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Allie Forbes,,,8.7500,
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Lauren Holt,,9.6500,,
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Ellie Kearns,,9.6750,9.7500,
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Hailey Kriz,,,9.7250,
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Gigi Sabatini,9.6750,9.7000,9.7250,9.7000
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Hana Strause,,,9.7750,9.7500
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Ella Tashjian,9.7000,,,9.8000
Yale,2026,1,no meet title,Jan-11-2026,Penn State,Charlotte Zaun,,9.7250,9.1750,
Yale,2026,2,no meet title,Jan-18-2026,Yale,Lily Aucoin,9.5500,9.7250,,
Yale,2026,2,no meet title,Jan-18-2026,Yale,Annie Bilbe,9.6250,,,9.8250
Yale,2026,2,no meet title,Jan-18-2026,Yale,Megan Brueck,,,8.6750,9.5750
Yale,2026,2,no meet title,Jan-18-2026,Yale,Lauren Burt,9.7500,,,
Yale,2026,2,no meet title,Jan-18-2026,Yale,Chloe DeJoy,,9.7500,,9.7000
Yale,2026,2,no meet title,Jan-18-2026,Yale,Meredith Donovan,9.6500,,,
Yale,2026,2,no meet title,Jan-18-2026,Yale,Allie Forbes,,,9.7750,
Yale,2026,2,no meet title,Jan-18-2026,Yale,Lauren Holt,,9.7000,,
Yale,2026,2,no meet title,Jan-18-2026,Yale,Ellie Kearns,,9.8750,9.6750,
Yale,2026,2,no meet title,Jan-18-2026,Yale,Hailey Kriz,,,9.6500,
Yale,2026,2,no meet title,Jan-18-2026,Yale,Gigi Sabatini,9.7500,9.6250,9.1250,9.7750
Yale,2026,2,no meet title,Jan-18-2026,Yale,Hana Strause,,,9.7750,9.8000
Yale,2026,2,no meet title,Jan-18-2026,Yale,Ella Tashjian,9.7750,,,9.7750
Yale,2026,2,no meet title,Jan-18-2026,Yale,Charlotte Zaun,,9.8000,,
Yale,2026,3,no meet title,Jan-27-2026,Yale,Lily Aucoin,9.6000,9.6500,,
Yale,2026,3,no meet title,Jan-27-2026,Yale,Annie Bilbe,9.6250,,,9.7750
Yale,2026,3,no meet title,Jan-27-2026,Yale,Megan Brueck,,,,9.7000
Yale,2026,3,no meet title,Jan-27-2026,Yale,Lauren Burt,9.8500,,,
Yale,2026,3,no meet title,Jan-27-2026,Yale,Chloe DeJoy,,9.4250,,9.7500
Yale,2026,3,no meet title,Jan-27-2026,Yale,Allie Forbes,,,9.5500,
Yale,2026,3,no meet title,Jan-27-2026,Yale,Lauren Holt,,9.6500,,
Yale,2026,3,no meet title,Jan-27-2026,Yale,Ellie Kearns,,9.6250,,
Yale,2026,3,no meet title,Jan-27-2026,Yale,Hailey Kriz,,,9.7250,
